country,ISO3,Rule of Law 2022,Entity,Year,Gender Inequality Index,"GDP per capita, PPP (current international $)"
Afghanistan,AFG,-1.66,Afghanistan,2022,0.665,2092.8799522466174
Angola,AGO,-1.02,Angola,2022,0.52,7928.641497538795
Albania,ALB,-0.17,Albania,2022,0.116,19492.78309856916
United Arab Emirates,ARE,0.84,United Arab Emirates,2022,0.035,78915.25475558871
Argentina,ARG,-0.48,Argentina,2022,0.292,29037.489121502113
Armenia,ARM,-0.17,Armenia,2022,0.198,20445.09888089303
Australia,AUS,1.51,Australia,2022,0.063,65365.94851104499
Austria,AUT,1.71,Austria,2022,0.048,70975.7206346934
Azerbaijan,AZE,-0.62,Azerbaijan,2022,0.329,22533.494056850795
Burundi,BDI,-1.28,Burundi,2022,0.499,917.5060350170847
Belgium,BEL,1.35,Belgium,2022,0.044,68274.2006418035
Benin,BEN,-0.6,Benin,2022,0.649,3957.961212404609
Burkina Faso,BFA,-0.61,Burkina Faso,2022,0.577,2620.5076544193016
Bangladesh,BGD,-0.6,Bangladesh,2022,0.498,8354.715867768611
Bulgaria,BGR,-0.11,Bulgaria,2022,0.206,35463.55498830438
Bahrain,BHR,0.44,Bahrain,2022,0.181,60652.85050081487
Bahamas. The,BHS,0.13,Bahamas,2022,0.333,33637.50479818187
Bosnia and Herzegovina,BIH,-0.31,Bosnia and Herzegovina,2022,0.148,20998.522634768455
Belarus,BLR,-1.22,Belarus,2022,0.096,28406.06614819642
Belize,BLZ,-0.72,Belize,2022,0.454,13280.598394184515
Bolivia,BOL,-1.3,Bolivia,2022,0.418,10238.812087808026
Brazil,BRA,-0.26,Brazil,2022,0.391,19398.589813344617
Barbados,BRB,0.36,Barbados,2022,0.289,17892.18925715075
Brunei Darussalam,BRN,0.93,Brunei,2022,0.279,82893.40431991236
Bhutan,BTN,0.67,Bhutan,2022,0.334,15021.728993412957
Botswana,BWA,0.47,Botswana,2022,0.483,18516.191337299715
Canada,CAN,1.57,Canada,2022,0.069,62041.56202984064
Switzerland,CHE,1.75,Switzerland,2022,0.018,90746.45327860003
Chile,CHL,0.69,Chile,2022,0.19,31586.136898183242
China,CHN,-0.04,China,2022,0.186,22499.44266770185
Côte d'Ivoire,CIV,-0.48,Cote d'Ivoire,2022,0.612,7234.226692941995
Cameroon,CMR,-1.05,Cameroon,2022,0.555,5122.6443925205795
Congo. Rep.,COG,-1.09,Congo,2022,0.572,6713.963637307906
Colombia,COL,-0.43,Colombia,2022,0.392,21055.66303000021
Cape Verde,CPV,0.37,Cape Verde,2022,0.325,8415.15759521377
Costa Rica,CRI,0.44,Costa Rica,2022,0.232,26181.142017213908
Cyprus,CYP,0.57,Cyprus,2022,0.253,53776.30859375
Czech Republic,CZE,1.1,Czechia,2022,0.113,51701.94914170363
Germany,DEU,1.53,Germany,2022,0.071,66616.02224505595
Denmark,DNK,1.9,Denmark,2022,0.009,77953.67866131243
Dominican Republic,DOM,-0.09,Dominican Republic,2022,0.433,24363.893374685547
Algeria,DZA,-0.83,Algeria,2022,0.46,16028.287108715951
Ecuador,ECU,-0.62,Ecuador,2022,0.371,15117.270630279509
Egypt. Arab Rep.,EGY,-0.26,Egypt,2022,0.389,17769.22373975758
Spain,ESP,0.8,Spain,2022,0.059,48685.49630882721
Estonia,EST,1.43,Estonia,2022,0.093,47941.679134186204
Ethiopia,ETH,-0.62,Ethiopia,2022,0.494,2888.736491715796
Finland,FIN,1.96,Finland,2022,0.032,62599.005559632344
Fiji,FJI,0.32,Fiji,2022,0.332,13534.194309137625
France,FRA,1.18,France,2022,0.084,57594.03401792078
Gabon,GAB,-0.84,Gabon,2022,0.524,21118.86705335309
United Kingdom,GBR,1.42,United Kingdom,2022,0.094,56761.51729821026
Georgia,GEO,0.17,Georgia,2022,0.283,22442.78671775736
Ghana,GHA,-0.08,Ghana,2022,0.512,7132.783653446879
Guinea,GIN,-1.1,Guinea,2022,0.609,4087.091751838776
Gambia. The,GMB,-0.45,Gambia,2022,0.585,2969.757200232171
Guinea-Bissau,GNB,-1.45,Guinea-Bissau,2022,0.631,2486.7175464404168
Greece,GRC,0.33,Greece,2022,0.12,38922.47422529724
Guatemala,GTM,-1.13,Guatemala,2022,0.474,13299.602345271984
Guyana,GUY,-0.31,Guyana,2022,0.416,40337.59901465216
Honduras,HND,-1.02,Honduras,2022,0.413,6820.087245308128
Croatia,HRV,0.37,Croatia,2022,0.087,42399.122264753045
Haiti,HTI,-1.38,Haiti,2022,0.621,3239.319004764681
Hungary,HUN,0.42,Hungary,2022,0.23,43577.88714060669
Indonesia,IDN,-0.19,Indonesia,2022,0.439,14445.643155792111
India,IND,0.11,India,2022,0.437,9199.567738717473
Ireland,IRL,1.53,Ireland,2022,0.072,133822.75872322297
Iran. Islamic Rep.,IRN,-1.02,Iran,2022,0.484,16591.264572254317
Iraq,IRQ,-1.75,Iraq,2022,0.562,14199.607361843273
Iceland,ISL,1.7,Iceland,2022,0.039,73471.49970301607
Israel,ISR,0.95,Israel,2022,0.092,52133.60932475497
Italy,ITA,0.3,Italy,2022,0.057,55908.25546929227
Jamaica,JAM,-0.07,Jamaica,2022,0.35,10826.093463106437
Jordan,JOR,0.22,Jordan,2022,0.449,9871.875152757459
Japan,JPN,1.56,Japan,2022,0.078,47118.38827482575
Kazakhstan,KAZ,-0.47,Kazakhstan,2022,0.177,36595.40669278011
Kenya,KEN,-0.32,Kenya,2022,0.533,5902.091973911856
Kyrgyz Republic,KGZ,-1.15,Kyrgyzstan,2022,0.345,6572.38276138415
Cambodia,KHM,-0.87,Cambodia,2022,0.486,5202.677724581661
Korea. Rep.,KOR,1.16,South Korea,2022,0.062,51621.92926339371
Kuwait,KWT,0.28,Kuwait,2022,0.199,56181.70770102323
Lao PDR,LAO,-0.81,Laos,2022,0.467,8793.557550771156
Lebanon,LBN,-1.1,Lebanon,2022,0.365,12852.666020115446
Liberia,LBR,-0.92,Liberia,2022,0.656,1712.6832465107877
Libya,LBY,-1.8,Libya,2022,0.266,19487.901016105556
St. Lucia,LCA,0.66,Saint Lucia,2022,0.347,23546.933814778444
Sri Lanka,LKA,-0.06,Sri Lanka,2022,0.376,14182.308178189356
Lesotho,LSO,-0.49,Lesotho,2022,0.552,2699.990941321784
Lithuania,LTU,1.06,Lithuania,2022,0.098,50997.27897102712
Luxembourg,LUX,1.77,Luxembourg,2022,0.043,146457.02054398553
Latvia,LVA,0.92,Latvia,2022,0.142,41106.52706571493
Morocco,MAR,-0.2,Morocco,2022,0.44,9205.3359375
Moldova,MDA,-0.29,Moldova,2022,0.156,16301.76568699708
Madagascar,MDG,-0.94,Madagascar,2022,0.574,1781.7828117518673
Maldives,MDV,-0.03,Maldives,2022,0.328,22900.058817074678
Mexico,MEX,-0.87,Mexico,2022,0.352,23859.12564288722
North Macedonia,MKD,-0.1,North Macedonia,2022,0.134,24179.57244245657
Mali,MLI,-1.0,Mali,2022,0.607,2576.6591046157196
Malta,MLT,0.79,Malta,2022,0.117,59284.26557414313
Myanmar,MMR,-1.53,Myanmar,2022,0.479,5682.541332412384
Mongolia,MNG,-0.19,Mongolia,2022,0.297,16559.074533300794
Montenegro,MNE,-0.13,Montenegro,2022,0.114,28319.588946137927
Mozambique,MOZ,-1.02,Mozambique,2022,0.477,1565.549232864833
Mauritania,MRT,-0.66,Mauritania,2022,0.603,6644.77519950536
Mauritius,MUS,0.8,Mauritius,2022,0.369,26579.756092180025
Malawi,MWI,-0.22,Malawi,2022,0.579,1820.4522326776992
Malaysia,MYS,0.56,Malaysia,2022,0.202,35040.310093189386
Namibia,NAM,0.4,Namibia,2022,0.45,11987.413026986802
Niger,NER,-0.48,Niger,2022,0.609,1775.5965442762063
Nigeria,NGA,-0.91,Nigeria,2022,0.677,6069.187109058276
Nicaragua,NIC,-1.31,Nicaragua,2022,0.397,7526.290384161295
Netherlands,NLD,1.66,Netherlands,2022,0.025,74541.79924025525
Norway,NOR,1.76,Norway,2022,0.012,124252.83259482907
Nepal,NPL,-0.45,Nepal,2022,0.495,4959.883464724934
New Zealand,NZL,1.73,New Zealand,2022,0.082,52327.699124600666
Oman,OMN,0.5,Oman,2022,0.267,42938.44457428819
Pakistan,PAK,-0.67,Pakistan,2022,0.522,6112.324720339505
Panama,PAN,-0.36,Panama,2022,0.392,36169.58621070296
Peru,PER,-0.55,Peru,2022,0.36,16363.086394311307
Philippines,PHL,-0.52,Philippines,2022,0.388,9983.287752984053
Papua New Guinea,PNG,-0.62,Papua New Guinea,2022,0.604,4409.232630645928
Poland,POL,0.43,Poland,2022,0.105,46720.57301430669
Portugal,PRT,1.11,Portugal,2022,0.076,44484.29725157573
Paraguay,PRY,-0.59,Paraguay,2022,0.429,16284.695300967198
Qatar,QAT,0.92,Qatar,2022,0.212,121124.66344570734
Russian Federation,RUS,-1.2,Russia,2022,0.178,40957.76953125
Rwanda,RWA,0.15,Rwanda,2022,0.4,3065.1453603084997
Samoa,WSM,0.95,Samoa,2022,0.406,6057.197363326923
Saudi Arabia,SAU,0.29,Saudi Arabia,2022,0.229,54251.63790441034
Sudan,SDN,-1.26,Sudan,2022,0.548,3532.0703125
Senegal,SEN,-0.26,Senegal,2022,0.505,4612.688266188605
Singapore,SGP,1.78,Singapore,2022,0.036,141796.1019985511
Sierra Leone,SLE,-0.83,Sierra Leone,2022,0.613,1759.7458829351613
El Salvador,SLV,-0.74,El Salvador,2022,0.369,11743.43732803299
Somalia,SOM,-2.29,Somalia,2022,0.674,1554.6032292479053
Suriname,SUR,-0.13,Suriname,2022,0.405,20061.353828832733
Slovak Republic,SVK,0.62,Slovakia,2022,0.184,41057.092220918756
Slovenia,SVN,0.97,Slovenia,2022,0.049,51281.85751026688
Sweden,SWE,1.69,Sweden,2022,0.023,68088.1932665107
Eswatini,SWZ,-0.6,Eswatini,2022,0.491,10887.003868893204
Chad,TCD,-1.37,Chad,2022,0.671,1881.9913112267961
Togo,TGO,-0.56,Togo,2022,0.578,2927.3357593422184
Thailand,THA,0.07,Thailand,2022,0.31,22213.799374711358
Tajikistan,TJK,-1.26,Tajikistan,2022,0.269,4614.424213549867
Tonga,TON,0.59,Tonga,2022,0.462,7016.366131332027
Trinidad and Tobago,TTO,-0.17,Trinidad and Tobago,2022,0.264,29910.142636703033
Tunisia,TUN,-0.09,Tunisia,2022,0.237,13253.39062080409
Türkiye,TUR,-0.46,Turkey,2022,0.259,38355.153967209604
Tanzania,TZA,-0.44,Tanzania,2022,0.513,3751.16674804688
Uganda,UGA,-0.38,Uganda,2022,0.527,2920.664770187516
Ukraine,UKR,-0.92,Ukraine,2022,0.188,16080.228515625
Uruguay,URY,0.77,Uruguay,2022,0.24,32746.315276439986
United States,USA,1.37,United States,2022,0.18,77246.6738828675
Uzbekistan,UZB,-0.85,Uzbekistan,2022,0.242,9042.343916228392
Vietnam,VNM,-0.16,Vietnam,2022,0.378,14051.248771401246
Serbia,SRB,-0.11,Serbia,2022,0.119,25057.41951866464
South Africa,ZAF,0.02,South Africa,2022,0.401,15330.769273747892
Zambia,ZMB,-0.52,Zambia,2022,0.526,3864.894366780336
Zimbabwe,ZWE,-1.24,Zimbabwe,2022,0.519,3660.8355008182
